,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,663,1122,1951,2445,3365,4125,5152,5707,6745,7311,11315,12079,13576,13944,14695,15014,15513,15861,19276,19565,20263,20578,21320,22039
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,700,250,600,250,900,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,es,cr,rt,cr,nb,cr,anb
performance,1,1.0,1,1.0,1,0.9,1,1.0,1,0.9508,1,1,1.0,1,0.95,1,0.95,1,1.0,1,1.0,1
avg_rt,0,286.32361339987256,0,357.3886354176163,0,1021.0240135489585,0,586.5923569508595,0,968.9099360821505,0,0,348.5912179986675,0,912.6929774002443,0,523.1365005001862,0,284.5415758496529,0,1091.504337600054,0
