,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,265,646,1421,1784,2713,3328,4208,4583,5612,6068,10148,10736,11737,12062,12766,13113,16509,16941,17690,18054,18881,19194,19735,20053
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,600,250,900,250,700,250,850,250,2800,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,rt,cr,nb,cr,es,cr,gng,cr,ewm,cr,anb
performance,1,1.0,1,1.0,1,0.7727,1,1.0,1,0.95,1,1,1.0,1,0.65,1,1.0,1,0.95,1,0.95,1
avg_rt,0,286.1314665962709,0,643.5910606440822,0,998.9101008643523,0,672.7614028997777,0,910.8103577345901,0,0,300.406820148055,0,1417.5682105997112,0,744.3315527474624,0,599.1870790891116,0,959.1179315495538,0
