,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,272,660,1420,1862,2671,3330,4256,4686,5679,6109,10237,10821,11818,12146,12742,13077,16477,16838,17495,17785,18564,18844,19280,19580
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,900,250,700,250,600,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,nb,cr,es,cr,rt,cr,anb
performance,1,1.0,1,1.0,1,0.9,1,1.0,1,0.9365,1,0.75,1,1.0,1,0.95,1,1.0,1,1.0,1,1.0,1,0.95
avg_rt,0,240.1927013648674,0,308.59867175523607,0,675.3378564095125,0,482.5323147699237,0,913.2917575267927,0,938.6651155456901,0,310.4726189437012,0,896.75340539931,0,794.7728497209027,0,431.3441692618653,0,241.15676167421043,0,1155.995937809348
