,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,539,882,1627,2002,2734,3238,4163,4603,5609,6028,9944,10296,11256,11599,12277,12572,13085,13435,16841,17125,17762,18051,18828,19124
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,700,250,600,250,900,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,es,cr,rt,cr,nb,cr,anb
performance,1,1.0,1,0.9,1,0.7727,1,0.95,1,0.9833,1,0.8333,1,1.0,1,0.9667,1,0.95,1,1.0,1,0.95,1,0.85
avg_rt,0,250.65655797952786,0,324.49915926707416,0,929.9572116377001,0,489.69492027536035,0,740.4910952590095,0,1302.5499415640563,0,433.72480061952956,0,755.4783950792626,0,448.3435056754388,0,277.97493744874373,0,943.7024435528555,0,1016.3568217307329
