,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,312,850,1713,2369,3270,4429,5546,6105,7111,7831,11998,12806,13859,14249,14987,15478,19198,19712,20526,20932,21743,22084,22554,22934
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,600,250,900,250,700,250,850,250,2800,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,rt,cr,nb,cr,es,cr,gng,cr,ewm,cr,anb
performance,1,1.0,1,0.95,1,0.65,1,1.0,1,0.8571,1,1,1.0,1,0.9,1,1.0,1,1.0,1,0.9333,1
avg_rt,0,317.28545720689,0,551.6033823867994,0,1065.0616969913244,0,710.6721779331565,0,1158.297138812996,0,0,384.1788842342794,0,1045.449564093724,0,706.2657510396093,0,631.7174206064506,0,1191.256725679462,0
