,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,671,1031,1704,2055,2870,3469,4412,4875,5868,6268,10201,10505,11657,11965,12642,12982,16340,16707,17538,17844,18613,18901,19406,19729
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,900,250,700,250,600,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,nb,cr,es,cr,rt,cr,anb
performance,1,0.95,1,0.95,1,0.95,1,1.0,1,0.95,1,0.6538,1,1.0,1,0.95,1,0.9048,1,1.0,1,1.0,1,1.0
avg_rt,0,265.17301307697045,0,334.6522805171416,0,951.3212179532275,0,599.3085154565051,0,672.1213607039923,0,1210.0473077204078,0,446.61848483762395,0,720.9158307717493,0,1156.4053266227245,0,611.9685700861737,0,306.1793874716386,0,1308.8567237835377
