,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,723,1346,2071,2650,3609,4936,6002,6755,7892,8656,12804,13501,14549,15045,15940,16275,16751,17320,20836,21225,21849,22233,23020,23483
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,700,250,600,250,900,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,es,cr,rt,cr,nb,cr,anb
performance,1,1.0,1,1.0,1,0.9048,1,0.95,1,0.9,1,0.9048,1,1.0,1,0.8833,1,0.95,1,1.0,1,0.95,1,0.8182
avg_rt,0,278.86400769348256,0,386.9018611551907,0,913.7701616333798,0,506.51215339894406,0,909.9707461951766,0,1036.4783625262123,0,353.28605997545475,0,996.3478034498015,0,448.85712710092776,0,307.4510386039037,0,1158.7283334578387,0,1225.0443094595337
