,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,289,862,1759,2250,3220,4070,5163,5831,6898,7838,11921,12483,13785,14185,14767,15242,15957,16294,17071,17464,18122,18437,21757,22087
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,600,250,900,250,700,250,850,250,2800,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,rt,cr,nb,cr,es,cr,gng,cr,ewm,cr,anb
performance,1,1.0,1,0.9,1,0.8636,1,0.9,1,0.9048,1,0.7826,1,1.0,1,0.9,1,1.0,1,0.95,1,0.9,1,0.8571
avg_rt,0,361.77596944980905,0,401.52193018775506,0,1264.4460960911251,0,938.5330432995033,0,1092.432762142991,0,1459.6525156092323,0,431.0842100498121,0,1560.228122749868,0,1011.9781390501885,0,821.1748603326366,0,1331.7391831835232,0,1720.942302500033
