,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,246,641,1415,1777,2707,3324,4205,4592,5614,6064,10147,10732,11736,12065,12769,13113,16506,16942,17692,18054,18878,19191,19732,20053
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,900,250,700,250,600,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,nb,cr,es,cr,rt,cr,anb
performance,1,1.0,1,1.0,1,0.8,1,0.95,1,0.9516,1,0.619,1,1.0,1,0.9667,1,0.75,1,1.0,1,1.0,1,0.7
avg_rt,0,349.52328198123723,0,622.7906055494466,0,782.7627778984606,0,826.3096452298525,0,949.9158350352438,0,1007.2803196182475,0,685.0799742656259,0,882.4960636983936,0,1144.6998432278633,0,693.9301175996661,0,296.9479030696675,0,1324.7901143739
