,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,330,759,1532,1916,2866,3618,4566,5069,6049,6460,10611,10951,12037,12341,13099,13374,13890,14193,17816,18120,18923,19359,20164,20543
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,700,250,600,250,900,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,es,cr,rt,cr,nb,cr,anb
performance,1,1.0,1,1.0,1,0.5455,1,1.0,1,0.8413,1,1,0.75,1,0.9667,1,0.95,1,0.95,1,0.85,1
avg_rt,0,246.4809214521665,0,387.5721616932424,0,1292.0695920485027,0,674.8022665000462,0,1168.9721261424638,0,0,466.2651801333763,0,1083.9337380501092,0,725.1372565508063,0,271.5875207366863,0,1281.057804502052,0
