,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,280,686,1442,1754,2607,3614,4639,5112,6118,6620,10986,12256,12545,13284,13644,14367,14740,15589,15879,17239,17941,18262,18938,19706
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,600,250,900,250,700,250,850,250,2800,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,rt,cr,nb,cr,es,cr,gng,cr,ewm,cr,anb
performance,1,1.0,1,0.9,1,0.7727,1,1.0,1,0.8657,1,0.5312,1,1.0,1,0.85,1,0.9,1,0.95,1,0.8833,1,0.85
avg_rt,0,641.5992592501425,0,580.7095973999822,0,1385.9235818652432,0,1161.9396582504123,0,1347.9630477614285,0,1238.229454374883,0,693.9238662991556,0,1993.7550606504374,0,1001.5331401580049,0,544.1401183993245,0,1493.7277388501234,0,1981.585841449487
