,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,390,860,1628,2042,2905,3502,4524,5134,6156,6684,10821,11181,12392,12717,13266,13587,17117,17465,18211,18522,19263,19625,20152,20515
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,600,250,900,250,700,250,850,250,2800,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,rt,cr,nb,cr,es,cr,gng,cr,ewm,cr,anb
performance,1,1.0,1,0.95,1,0.5909,1,1.0,1,0.8636,1,0.5217,1,0.95,1,0.8,1,0.95,1,1.0,1,1.0,1,0.7619
avg_rt,0,306.3279608031735,0,544.8435727739707,0,988.3743308461695,0,754.3231630930677,0,1062.2594534284435,0,1360.1622051709614,0,372.3877776218088,0,1126.8380848468746,0,601.9082309387159,0,438.46387244411744,0,1048.5371517851793,0,1502.601526443474
