,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,336,932,1736,2234,3193,4109,5327,5884,6921,7581,11696,12261,13344,13772,14384,14757,18028,18674,19411,19747,20594,20964,21541,21972
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,600,250,900,250,700,250,850,250,2800,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,rt,cr,nb,cr,es,cr,gng,cr,ewm,cr,anb
performance,1,1.0,1,0.95,1,0.625,1,1.0,1,0.8254,1,0.9524,1,1.0,1,0.8,1,0.9,1,1.0,1,0.9,1,0.9
avg_rt,0,294.59660540596815,0,363.8359207190141,0,1078.9235538713401,0,641.8422425500466,0,790.0243967308049,0,1330.4524072340157,0,339.9863338985597,0,1324.7199128993088,0,721.5944813025999,0,492.0067623985233,0,871.1445667004833,0,1607.3429562558886
