,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,317,696,1348,1728,2585,3195,4065,4420,5432,5830,9728,10055,11027,11407,12076,12357,12839,13134,16402,16707,17269,17564,18356,18684
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,900,250,700,250,600,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,nb,cr,es,cr,rt,cr,anb
performance,1,1.0,1,1.0,1,0.2381,1,0.95,1,0.9,1,0.85,1,1.0,1,0.9833,1,0.95,1,1.0,1,1.0,1,0.95
avg_rt,0,349.21944346278906,0,389.21994656058297,0,692.012073277682,0,645.8327119704336,0,726.0473917083194,0,1238.6008282192051,0,395.2100967988372,0,717.0611669930319,0,880.7429445441812,0,624.7861552983522,0,277.81708505935967,0,1146.1919805500656
