,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,671,1031,1704,2055,2870,3469,4412,4875,5868,6268,10201,10505,11657,11965,12642,12982,16340,16707,17538,17844,18613,18901,19406,19729
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,600,250,900,250,700,250,850,250,2800,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,rt,cr,nb,cr,es,cr,gng,cr,ewm,cr,anb
performance,1,1.0,1,1.0,1,0.5,1,0.95,1,0.9206,1,0.6818,1,1.0,1,0.95,1,1.0,1,1.0,1,0.9833,1,1.0
avg_rt,0,281.14365690853447,0,396.0107468830591,0,999.4208306341432,0,549.8995175585151,0,837.6336077091004,0,1328.5218099067833,0,301.6396212973632,0,1004.3575186631642,0,544.8198034311645,0,450.7517263846239,0,711.0919655921558,0,1366.3235274027102
