,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,390,860,1628,2042,2905,3502,4524,5134,6156,6684,10821,11181,12392,12717,13266,13587,17117,17465,18211,18522,19263,19625,20152,20515
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,900,250,700,250,600,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,nb,cr,es,cr,rt,cr,anb
performance,1,1.0,1,0.8182,1,0.8095,1,0.95,1,0.9016,1,0.75,1,0.95,1,0.9167,1,0.95,1,1.0,1,1.0,1,0.9
avg_rt,0,540.6850954990659,0,512.1864672491683,0,1328.6004673342686,0,1034.9575128493598,0,1276.3361730823306,0,1338.407311958353,0,698.7960941332858,0,1304.1414620999267,0,1618.399767101073,0,1074.8507210002572,0,714.53870309997,0,1704.8650229007762
