,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,336,891,1738,2373,3273,4464,5522,6131,7136,7824,11952,12799,13857,14254,14968,15524,19202,19705,20525,20922,21795,22113,22562,22959
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,900,250,700,250,600,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,nb,cr,es,cr,rt,cr,anb
performance,1,1.0,1,1.0,1,0.7391,1,0.95,1,0.873,1,0.6923,1,0.95,1,0.9,1,0.8571,1,0.9,1,1.0,1,0.95
avg_rt,0,492.168442349066,0,509.69671691746044,0,1166.1027747831768,0,1161.2918457496562,0,1184.4379949847123,0,1205.7943483843433,0,724.0329751663619,0,1401.895811682698,0,1449.890216600377,0,895.1732951489248,0,579.892688900145,0,1707.2254828497535
