,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,317,696,1348,1728,2585,3195,4065,4420,5432,5830,9728,10055,11027,11407,12076,12357,12839,13134,16402,16707,17269,17564,18356,18684
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,600,250,900,250,700,250,850,250,2800,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,rt,cr,nb,cr,es,cr,gng,cr,ewm,cr,anb
performance,1,1.0,1,0.85,1,0.8,1,1.0,1,0.9672,1,1.0,1,0.95,1,0.7619,1,0.95,1,1.0,1,0.9667,1,0.9
avg_rt,0,323.033555096481,0,385.5507972869365,0,933.1932540400885,0,562.1478803572245,0,885.0146846238707,0,1039.7145180264488,0,356.26343473497974,0,851.1933111270889,0,570.1517370823575,0,499.4227553769532,0,810.2809903522333,0,1199.0306299529038
