,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,300,721,1482,1893,2818,3569,4506,5189,6140,6628,10893,11438,12526,12903,13658,14125,17532,17944,18661,18996,19774,20110,20612,21015
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,900,250,700,250,600,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,nb,cr,es,cr,rt,cr,anb
performance,1,0.8,1,1.0,1,0.7,1,1.0,1,0.7059,1,0.5909,1,0.95,1,0.9333,1,0.85,1,0.85,1,0.95,1,0.8
avg_rt,0,283.44890390872024,0,460.7944876717573,0,798.6581568606198,0,714.4337195204571,0,1038.6480141703917,0,1068.4175443280312,0,488.4470284450799,0,888.3640697353829,0,1050.8162123383954,0,586.7983422242105,0,424.9009552264684,0,1165.5816719168797
