,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,305,832,1629,2087,2958,3732,4781,5445,6457,7177,11377,11944,12962,13333,14141,14497,15111,15583,19454,19889,20591,20932,21685,22215
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,900,250,600,250,2800,250,850,250,700,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,nb,cr,rt,cr,ewm,cr,gng,cr,es,cr,anb
performance,1,0.9,1,0.95,1,0.6818,1,1.0,1,0.9048,1,1.0,1,0.95,1,0.95,1,0.8167,1,0.95,1,0.95,1,0.95
avg_rt,0,439.69638868131574,0,509.4632606196683,0,981.2792425242563,0,671.0477396147326,0,1014.9905256154163,0,1153.9804358966649,0,929.676932329312,0,309.27069686157137,0,994.2970747142409,0,442.8836132477348,0,643.3921124553308,0,1071.9686176504183
