,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,336,932,1736,2234,3193,4109,5327,5884,6921,7581,11696,12261,13344,13772,14384,14757,18028,18674,19411,19747,20594,20964,21541,21972
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,900,250,700,250,600,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,nb,cr,es,cr,rt,cr,anb
performance,1,0.85,1,0.85,1,0.625,1,1.0,1,0.8571,1,0.7273,1,1.0,1,0.8167,1,1.0,1,1.0,1,1.0,1,0.95
avg_rt,0,341.4496145534019,0,439.64030472561717,0,1050.9188965571425,0,659.8779214546084,0,877.5193829691362,0,1182.730562643281,0,401.17085992824286,0,746.0996499750763,0,769.2857000045478,0,651.4336571097374,0,320.873916009441,0,1060.5709187220782
