,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,1091,1455,2162,2580,3473,3963,5063,5510,6460,6944,10975,11446,12473,12812,13443,13728,17152,17451,18340,18622,19334,19626,20074,20408
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,900,250,700,250,600,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,nb,cr,es,cr,rt,cr,anb
performance,1,1.0,1,0.95,1,0.7727,1,0.9,1,0.9344,1,0.7143,1,0.95,1,0.9,1,0.6522,1,0.95,1,0.95,1,0.9
avg_rt,0,285.09158114902675,0,414.7481015949909,0,1051.5167015704017,0,602.957851106399,0,851.2832174875208,0,1178.1835593127068,0,601.7876190778155,0,903.8609792555993,0,1314.9454601561652,0,564.0035970136523,0,307.3575486380019,0,1374.7148042695596
