,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,362,847,1620,2049,2857,3459,4970,5483,6525,6981,10328,10777,11892,12300,13030,13322,13798,14119,17653,17983,18678,19217,19994,20467
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,900,250,600,250,2800,250,850,250,700,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,nb,cr,rt,cr,ewm,cr,gng,cr,es,cr,anb
performance,1,1.0,1,1.0,1,0.6923,1,1.0,1,0.8615,1,0.7037,1,0.8,1,1.0,1,0.9,1,1.0,1,0.85,1,0.95
avg_rt,0,422.25671490159584,0,497.1585125332543,0,1378.4814009627355,0,1080.0545771984616,0,1267.9712377089397,0,1364.330936593616,0,1684.2917652485894,0,748.9078291524493,0,1499.5440426340792,0,557.2620182477598,0,1257.8785204008454,0,1769.2208384525554
