,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,662,1137,1929,2431,3355,4121,5151,5705,6683,7316,11330,12070,13575,13997,14710,15027,15503,15872,19279,19569,20262,20582,21317,22033
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,900,250,600,250,2800,250,850,250,700,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,nb,cr,rt,cr,ewm,cr,gng,cr,es,cr,anb
performance,1,0.95,1,1.0,1,0.55,1,0.95,1,0.9344,1,0.5833,1,0.85,1,1.0,1,0.9333,1,1.0,1,0.95,1,0.85
avg_rt,0,336.8863072736483,0,349.5348576301088,0,675.072430049628,0,653.3958080690354,0,931.1226311067088,0,1182.7323679000788,0,1005.0704118330032,0,319.65831462293863,0,887.5419225233296,0,326.3825663210203,0,509.34256655164063,0,1649.975074699422
