,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,283,662,1398,1799,2669,3227,4208,4565,5546,5992,9939,10341,11233,11590,12236,12549,13062,13419,16786,17098,17722,18035,18771,19127
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,900,250,600,250,2800,250,850,250,700,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,nb,cr,rt,cr,ewm,cr,gng,cr,es,cr,anb
performance,1,1.0,1,1.0,1,0.619,1,0.95,1,0.9667,1,0.9,1,0.95,1,1.0,1,0.9667,1,0.95,1,0.95,1,0.7273
avg_rt,0,262.1122222393751,0,304.09460006789726,0,580.9621460188181,0,516.7321759741753,0,832.6491462687651,0,853.9852520916611,0,752.9309522826225,0,267.1119326725602,0,838.4619217676421,0,379.7106288660031,0,533.4303847979754,0,1062.4011177103966
