,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,532,1001,1771,2186,3021,3691,4601,5121,6084,6729,10685,11048,12293,12621,13353,13843,17023,17364,18130,18447,19203,19530,20075,20555
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,600,250,900,250,700,250,850,250,2800,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,rt,cr,nb,cr,es,cr,gng,cr,ewm,cr,anb
performance,1,1.0,1,1.0,1,0.8571,1,1.0,1,0.9508,1,1.0,1,1.0,1,0.9,1,1.0,1,0.95,1,0.9,1,1.0
avg_rt,0,293.15578640671447,0,375.9302978128703,0,857.4917222873307,0,554.0669955429621,0,632.4765630321974,0,1009.4224483065773,0,252.66154301934876,0,651.9535879604518,0,581.0771671007387,0,312.91409944578146,0,819.6928916906472,0,1046.945739351213
