,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,302,693,1358,1707,2515,3242,4187,4625,5623,6027,10046,10484,11473,11754,12406,12685,16136,16418,16999,17275,18008,18292,18794,19172
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,900,250,700,250,600,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,nb,cr,es,cr,rt,cr,anb
performance,1,1.0,1,0.95,1,0.95,1,0.8,1,0.9508,1,0.5652,1,0.95,1,0.95,1,0.95,1,1.0,1,0.95,1,0.7619
avg_rt,0,300.33290025312454,0,350.2766515183098,0,715.2389575179667,0,652.0172866355432,0,882.932743105671,0,461.9175508674234,0,486.08199728187174,0,950.4262169046948,0,645.1849038014188,0,669.2458510631695,0,308.78011492620175,0,949.2470036178828
