,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,446,844,1535,1960,2821,3509,4489,4939,5935,6519,10581,11205,12241,12568,13221,13546,16969,17326,18050,18348,19120,19406,19884,20187
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,900,250,700,250,600,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,nb,cr,es,cr,rt,cr,anb
performance,1,0.9,1,0.95,1,0.8,1,0.95,1,0.9833,1,0.8,1,1.0,1,0.95,1,1.0,1,1.0,1,1.0,1,1.0
avg_rt,0,325.7029721927312,0,362.6770488335751,0,920.0462568085641,0,662.9663811530918,0,855.3602145363888,0,1154.913486578688,0,393.51486251689494,0,846.5336379595101,0,932.2489316575229,0,580.4832377005368,0,314.0218826942146,0,956.4220432657748
