,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,2936,3410,4173,4633,5553,6191,7161,7654,8671,9237,13300,13879,14924,15340,16084,16402,16899,17286,20927,21263,21846,22149,22962,23389
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,900,250,600,250,2800,250,850,250,700,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,nb,cr,rt,cr,ewm,cr,gng,cr,es,cr,anb
performance,1,1.0,1,0.9048,1,0.7143,1,1.0,1,0.8525,1,0.5172,1,0.85,1,1.0,1,0.9667,1,1.0,1,0.9,1,0.6667
avg_rt,0,330.07129974976124,0,613.9522939441312,0,1147.1264891434084,0,1094.7739033497783,0,1293.295232590142,0,1211.3750411377666,0,1242.7946094005165,0,524.935565499618,0,1411.073197099904,0,653.9996970004722,0,1209.0950794503442,0,2035.0623247997341
