,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,362,847,1620,2049,2857,3459,4970,5483,6525,6981,10328,10777,11892,12300,13030,13322,13798,14119,17653,17983,18678,19217,19994,20467
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,700,250,600,250,900,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,es,cr,rt,cr,nb,cr,anb
performance,1,0.9,1,0.95,1,0.3333,1,0.85,1,0.8095,1,1,1.0,1,0.9167,1,0.9,1,1.0,1,0.6,1
avg_rt,0,272.3731753002438,0,336.46955963922665,0,938.941321630563,0,567.3957509920001,0,971.889952305527,0,0,444.1727109422738,0,928.9963398594409,0,619.6968450554108,0,289.6251881029457,0,896.7338242486119,0
