,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,450,854,1589,1964,2885,3396,4333,4752,5753,6266,10175,10503,11552,11850,12626,12943,13501,13809,17186,17537,18261,18567,19515,19877
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,900,250,600,250,2800,250,850,250,700,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,nb,cr,rt,cr,ewm,cr,gng,cr,es,cr,anb
performance,1,1.0,1,0.9,1,1.0,1,1.0,1,0.9333,1,0.7391,1,0.95,1,1.0,1,0.8667,1,0.75,1,0.8235,1,0.619
avg_rt,0,245.8457272965461,0,361.45112516048056,0,911.2673395778984,0,729.907747078687,0,694.7993349567056,0,891.9883283742449,0,892.6662871532143,0,460.6876785401255,0,831.6873447759698,0,421.0045026826362,0,742.8430843112224,0,1816.100513100496
