,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,289,669,1387,1769,2672,3224,4202,4564,5542,5982,9936,10333,11231,11578,12238,12547,13047,13423,16803,17092,17736,18033,18774,19088
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,700,250,600,250,900,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,es,cr,rt,cr,nb,cr,anb
performance,1,1.0,1,1.0,1,0.9,1,0.95,1,0.8485,1,0.65,1,1.0,1,0.95,1,1.0,1,1.0,1,0.8,1,0.7273
avg_rt,0,292.6775078580249,0,387.9246701738642,0,969.9318826547824,0,635.3165944921784,0,1036.8106099391412,0,942.3991990601178,0,444.174871679085,0,815.480682875868,0,614.3456978432368,0,314.3737891979981,0,869.0363392990548,0,1062.4011177103966
