,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,560,1434,2234,2684,3597,4460,5513,6055,7123,7706,11738,12323,13336,14004,14741,15104,15618,16057,19544,19873,20558,20854,21638,22128
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,700,250,600,250,900,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,es,cr,rt,cr,nb,cr,anb
performance,1,0.8,1,1.0,1,0.4286,1,1.0,1,0.9194,1,0.95,1,1.0,1,0.8833,1,0.9,1,0.95,1,0.9,1,0.9048
avg_rt,0,381.0737302416716,0,332.44820998515934,0,986.4468626537825,0,585.3165605047252,0,918.7940022603669,0,1076.8621940515004,0,370.39279350678305,0,956.1686642759014,0,622.4840109015962,0,295.69661351361947,0,757.6665570551995,0,1221.4393189642578
