,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,289,862,1759,2250,3220,4070,5163,5831,6898,7838,11921,12483,13785,14185,14767,15242,15957,16294,17071,17464,18122,18437,21757,22087
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,700,250,600,250,900,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,es,cr,rt,cr,nb,cr,anb
performance,1,0.95,1,0.95,1,0.7273,1,1.0,1,0.8689,1,0.8,1,0.9,1,1,1,1,1
avg_rt,0,316.01454894744643,0,434.4475557861318,0,1229.3243831805885,0,695.0980352354236,0,900.7873945037117,0,1065.4115935903974,0,417.48828613371234,0,0,0,0,0
