,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,402,911,1794,2444,3359,4583,5700,6344,7343,7907,11913,12559,13593,13988,14743,15102,15614,16105,19635,20007,20768,21119,21848,22202
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,700,250,600,250,900,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,es,cr,rt,cr,nb,cr,anb
performance,1,1.0,1,1.0,1,0.5833,1,0.95,1,0.8065,1,1,1.0,1,0.9833,1,1.0,1,1.0,1,0.6,1
avg_rt,0,410.6402724981308,0,476.3380281627178,0,1190.1217185252387,0,658.8788272347301,0,1050.026483795816,0,0,495.74104442515153,0,1046.891263173893,0,655.0636466126889,0,340.8553230110556,0,1417.5815215718,0
