,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,305,832,1629,2087,2958,3732,4781,5445,6457,7177,11377,11944,12962,13333,14141,14497,15111,15583,19454,19889,20591,20932,21685,22215
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,700,250,600,250,900,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,es,cr,rt,cr,nb,cr,anb
performance,1,0.95,1,0.7826,1,0.4839,1,0.95,1,0.64,1,0.5161,1,0.9,1,0.8833,1,0.95,1,1.0,1,0.8,1,0.8
avg_rt,0,601.0248286846419,0,499.5728282624837,0,1267.8691672072887,0,1327.8220039996086,0,1345.4740068532362,0,1237.161395870795,0,917.1150736152553,0,1647.6823561166957,0,1543.082587549361,0,892.5243473000592,0,1676.6704499495768,0,2075.348405751356
