,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,302,693,1358,1707,2515,3242,4187,4625,5623,6027,10046,10484,11473,11754,12406,12685,16136,16418,16999,17275,18008,18292,18794,19172
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,600,250,900,250,700,250,850,250,2800,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,rt,cr,nb,cr,es,cr,gng,cr,ewm,cr,anb
performance,1,1.0,1,0.95,1,0.9,1,0.95,1,0.9833,1,1,1.0,1,0.65,1,0.95,1,1.0,1,0.95,1
avg_rt,0,300.6362608168274,0,361.27529082198936,0,937.8794215619564,0,759.4351558700988,0,888.4657753786693,0,0,319.8851693421602,0,968.2891439646482,0,657.9840566570822,0,408.61874500600004,0,1100.3484793135276,0
