,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,450,854,1589,1964,2885,3396,4333,4752,5753,6266,10175,10503,11552,11850,12626,12943,13501,13809,17186,17537,18261,18567,19515,19877
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,700,250,600,250,900,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,es,cr,rt,cr,nb,cr,anb
performance,1,0.95,1,1.0,1,0.8636,1,0.95,1,0.8594,1,0.9,1,0.95,1,0.8833,1,0.95,1,0.95,1,0.9,1,0.75
avg_rt,0,284.9893531835589,0,366.68729837983847,0,1054.6005364591256,0,708.2744646002539,0,878.4468601049739,0,1118.508952778019,0,348.6963195571055,0,700.3082349907918,0,589.0681289718486,0,320.8689337694331,0,928.1576576991938,0,1227.620530873537
