,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,272,660,1420,1862,2671,3330,4256,4686,5679,6109,10237,10821,11818,12146,12742,13077,16477,16835,17492,17782,18561,18841,19277,19577
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,600,250,900,250,700,250,850,250,2800,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,rt,cr,nb,cr,es,cr,gng,cr,ewm,cr,anb
performance,1,1.0,1,1.0,1,1.0,1,1.0,1,0.9355,1,1,1.0,1,0.85,1,0.85,1,1.0,1,0.9833,1
avg_rt,0,235.9788142508478,0,330.6468266649366,0,698.2843781996053,0,611.5693165484117,0,901.2362949511679,0,0,247.81396019970998,0,866.8585356499534,0,601.3193479993788,0,354.9299859084634,0,1086.997715166702,0
