,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,426,809,1547,1939,2892,3423,4387,4837,5791,6280,10303,10723,11828,12170,12846,13166,13681,13992,17614,17902,18555,18860,19672,20039
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,700,250,600,250,900,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,es,cr,rt,cr,nb,cr,anb
performance,1,0.95,1,0.95,1,0.9,1,0.9,1,0.918,1,1,1.0,1,0.8667,1,0.95,1,0.9,1,0.8571,1
avg_rt,0,269.91041036978316,0,365.2898155614821,0,785.2256979007507,0,510.62555585231166,0,899.3393085396802,0,0,346.27842711565523,0,1254.9347874855778,0,657.7172233504825,0,274.63365172863837,0,850.4040843477821,0
