,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,2936,3410,4173,4633,5553,6191,7161,7654,8671,9237,13300,13879,14924,15340,16084,16402,16899,17286,20927,21263,21846,22149,22962,23389
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,700,250,600,250,900,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,es,cr,rt,cr,nb,cr,anb
performance,1,1.0,1,0.95,1,0.75,1,0.95,1,0.8286,1,0.7,1,0.95,1,1.0,1,0.95,1,1.0,1,0.65,1,0.9
avg_rt,0,272.4676226847805,0,322.5472815412407,0,845.549479406327,0,563.8348156295251,0,1094.6915385112432,0,951.9567634653765,0,387.94804642176524,0,1222.9725217718321,0,596.3891718885861,0,273.8901103264652,0,929.8843113472685,0,1123.512045404641
