,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,317,696,1348,1728,2585,3195,4065,4420,5432,5830,9728,10055,11027,11407,12076,12357,12839,13134,16402,16707,17269,17564,18356,18684
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,700,250,600,250,900,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,es,cr,rt,cr,nb,cr,anb
performance,1,1.0,1,0.95,1,0.6667,1,1.0,1,0.9167,1,0.6522,1,1.0,1,0.9167,1,0.95,1,0.95,1,0.9,1,0.75
avg_rt,0,302.1209987462498,0,402.0984313235833,0,805.6080513999221,0,599.9634254141711,0,765.9011777269033,0,967.6116235713757,0,522.8953036712483,0,677.0755244923445,0,742.6562920445576,0,343.48372226629994,0,832.0281711872668,0,1106.2838609563187
