,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,300,721,1482,1893,2818,3569,4506,5189,6140,6628,10893,11438,12526,12903,13658,14125,17532,17944,18661,18996,19774,20110,20612,21015
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,600,250,900,250,700,250,850,250,2800,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,rt,cr,nb,cr,es,cr,gng,cr,ewm,cr,anb
performance,1,1.0,1,1.0,1,0.75,1,0.95,1,0.873,1,1,1.0,1,0.75,1,1.0,1,1.0,1,0.8167,1
avg_rt,0,368.1183339096606,0,441.5520846378058,0,780.2728718064725,0,577.539773285389,0,1000.9858319901285,0,0,350.4316716454923,0,1003.3959309570491,0,624.2798529565334,0,414.3186307201783,0,1301.6222836139302,0
