,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24
onset,532,1001,1771,2186,3021,3691,4601,5121,6084,6729,10685,11048,12293,12621,13353,13843,17023,17364,18130,18447,19203,19530,20075,20555
durations,250,600,250,850,250,900,250,700,250,2800,250,1050,250,850,250,2800,250,900,250,700,250,600,250,1050
stim,cr,rt,cr,gng,cr,nb,cr,es,cr,ewm,cr,anb,cr,gng,cr,ewm,cr,nb,cr,es,cr,rt,cr,anb
performance,1,1.0,1,1.0,1,1.0,1,1.0,1,0.9667,1,0.35,1,1.0,1,0.9833,1,0.8,1,1.0,1,1.0,1,0.95
avg_rt,0,254.9167156452313,0,352.60619220207445,0,546.2846279609948,0,583.3895980147645,0,625.5968149440984,0,349.4408006645739,0,378.9114275326331,0,736.7711275427913,0,1301.615306828171,0,609.2249879147857,0,324.3386453948915,0,860.1739280158654
